Time[s],Acceleration [mg],Force [N]  
0.0000,179.000,6.843 
0.0003,180.000,6.843 
0.0005,181.000,7.820 
0.0008,178.000,7.820 
0.0010,181.000,7.820 
0.0012,179.000,7.820 
0.0015,189.000,8.798 
0.0018,180.000,7.820 
0.0020,184.000,7.820 
0.0022,179.000,7.820 
0.0025,190.000,7.820 
0.0027,180.000,8.798 
0.0030,180.000,8.798 
0.0033,176.000,8.798 
0.0035,186.000,11.730 
0.0037,185.000,11.730 
0.0040,192.000,10.753 
0.0043,181.000,11.730 
0.0045,186.000,11.730 
0.0047,178.000,9.775 
0.0050,174.000,9.775 
0.0052,178.000,7.820 
0.0055,188.000,10.753 
0.0058,180.000,9.775 
0.0060,183.000,7.820 
0.0063,183.000,7.820 
0.0065,184.000,7.820 
0.0068,176.000,6.843 
0.0070,180.000,7.820 
0.0072,178.000,7.820 
0.0075,190.000,6.843 
0.0077,182.000,7.820 
0.0080,180.000,7.820 
0.0082,186.000,8.798 
0.0085,174.000,7.820 
0.0088,192.000,7.820 
0.0090,188.000,7.820 
0.0093,183.000,7.820 
0.0095,184.000,7.820 
0.0098,172.000,7.820 
0.0100,185.000,7.820 
0.0103,184.000,7.820 
0.0105,189.000,7.820 
0.0108,183.000,7.820 
0.0110,198.000,7.820 
0.0113,181.000,7.820 
0.0115,167.000,7.820 
0.0117,181.000,8.798 
0.0120,182.000,8.798 
0.0122,185.000,7.820 
0.0125,184.000,7.820 
0.0127,170.000,7.820 
0.0130,182.000,7.820 
0.0132,179.000,7.820 
0.0135,183.000,7.820 
0.0137,176.000,7.820 
0.0140,179.000,7.820 
0.0143,179.000,8.798 
0.0145,181.000,7.820 
0.0148,172.000,7.820 
0.0150,180.000,8.798 
0.0153,189.000,8.798 
0.0155,187.000,7.820 
0.0158,180.000,7.820 
0.0160,183.000,7.820 
0.0162,169.000,7.820 
0.0165,181.000,8.798 
0.0168,177.000,8.798 
0.0170,182.000,9.775 
0.0172,173.000,10.753 
0.0175,186.000,10.753 
0.0178,185.000,11.730 
0.0180,185.000,10.753 
0.0182,181.000,10.753 
0.0185,187.000,10.753 
0.0188,182.000,11.730 
0.0190,183.000,11.730 
0.0192,182.000,11.730 
0.0195,174.000,11.730 
0.0198,184.000,11.730 
0.0200,200.000,9.775 
0.0203,181.000,8.798 
0.0205,190.000,8.798 
0.0207,183.000,11.730 
0.0210,180.000,9.775 
0.0213,175.000,9.775 
0.0215,168.000,8.798 
0.0217,186.000,8.798 
0.0220,178.000,8.798 
0.0223,191.000,7.820 
0.0225,186.000,8.798 
0.0227,177.000,8.798 
0.0230,178.000,8.798 
0.0233,175.000,8.798 
0.0235,177.000,8.798 
0.0237,178.000,7.820 
0.0240,177.000,7.820 
0.0243,183.000,6.843 
0.0245,178.000,7.820 
0.0247,182.000,7.820 
0.0250,175.000,7.820 
0.0253,183.000,6.843 
0.0255,180.000,9.775 
0.0258,186.000,10.753 
0.0260,185.000,11.730 
0.0262,185.000,9.775 
0.0265,179.000,8.798 
0.0268,179.000,8.798 
0.0270,175.000,8.798 
