Time [s],Acceleration [mg],Time [s],Force [N]  
0.000000,0.000,0.000000,45.943 
0.000500,107.000,0.000250,45.943 
0.001000,105.000,0.000500,46.921 
0.001500,127.000,0.000750,46.921 
0.002000,118.000,0.001000,46.921 
0.002500,112.000,0.001250,47.898 
0.003000,122.000,0.001500,47.898 
0.003500,112.000,0.001750,50.831 
0.004000,119.000,0.002000,50.831 
0.004500,101.000,0.002250,50.831 
0.005000,146.000,0.002500,46.921 
0.005500,116.000,0.002750,46.921 
0.006000,128.000,0.003000,46.921 
0.006500,124.000,0.003250,46.921 
0.007000,139.000,0.003500,46.921 
0.007500,112.000,0.003750,47.898 
0.008000,131.000,0.004000,47.898 
0.008500,142.000,0.004250,47.898 
0.009000,116.000,0.004500,48.876 
0.009500,132.000,0.004750,50.831 
0.010000,138.000,0.005000,50.831 
0.010500,128.000,0.005250,50.831 
0.011000,162.000,0.005500,46.921 
0.011500,116.000,0.005750,47.898 
0.012000,151.000,0.006000,46.921 
0.012500,133.000,0.006250,47.898 
0.013000,138.000,0.006500,47.898 
0.013500,111.000,0.006750,48.876 
0.014000,160.000,0.007000,51.808 
0.014500,134.000,0.007250,50.831 
0.015000,110.000,0.007500,48.876 
0.015500,134.000,0.007750,46.921 
0.016000,150.000,0.008000,46.921 
0.016500,155.000,0.008250,46.921 
0.017000,101.000,0.008500,47.898 
0.017500,118.000,0.008750,48.876 
0.018000,150.000,0.009000,50.831 
0.018500,124.000,0.009250,51.808 
0.019000,137.000,0.009500,49.853 
0.019500,102.000,0.009750,46.921 
0.020000,191.000,0.010000,46.921 
0.020500,133.000,0.010250,46.921 
0.021000,141.000,0.010500,47.898 
0.021500,118.000,0.010750,47.898 
0.022000,126.000,0.011000,47.898 
0.022500,147.000,0.011250,50.831 
0.023000,109.000,0.011500,50.831 
0.023500,144.000,0.011750,49.853 
0.024000,135.000,0.012000,46.921 
0.024500,142.000,0.012250,46.921 
0.025000,128.000,0.012500,47.898 
0.025500,105.000,0.012750,48.876 
0.026000,135.000,0.013000,50.831 
0.026500,134.000,0.013250,50.831 
0.027000,134.000,0.013500,47.898 
0.027500,124.000,0.013750,46.921 
0.028000,119.000,0.014000,46.921 
0.028500,141.000,0.014250,47.898 
0.029000,115.000,0.014500,48.876 
0.029500,117.000,0.014750,51.808 
0.030000,114.000,0.015000,50.831 
0.030500,120.000,0.015250,47.898 
0.031000,119.000,0.015500,46.921 
0.031500,127.000,0.015750,47.898 
0.032000,121.000,0.016000,47.898 
0.032500,122.000,0.016250,46.921 
0.033000,106.000,0.016500,47.898 
0.033500,95.000,0.016750,50.831 
0.034000,112.000,0.017000,49.853 
0.034500,108.000,0.017250,46.921 
0.035000,118.000,0.017500,46.921 
0.035500,123.000,0.017750,46.921 
0.036000,110.000,0.018000,46.921 
0.036500,98.000,0.018250,48.876 
0.037000,103.000,0.018500,50.831 
0.037500,94.000,0.018750,50.831 
0.038000,92.000,0.019000,46.921 
0.038500,108.000,0.019250,46.921 
0.039000,109.000,0.019500,46.921 
0.039500,113.000,0.019750,47.898 
0.040000,124.000,0.020000,48.876 
0.040500,101.000,0.020250,48.876 
0.041000,90.000,0.020500,50.831 
0.041500,80.000,0.020750,49.853 
0.042000,95.000,0.021000,46.921 
0.042500,94.000,0.021250,46.921 
0.043000,93.000,0.021500,46.921 
0.043500,100.000,0.021750,46.921 
0.044000,113.000,0.022000,46.921 
0.044500,105.000,0.022250,47.898 
0.045000,88.000,0.022500,50.831 
0.045500,103.000,0.022750,51.808 
0.046000,117.000,0.023000,50.831 
0.046500,95.000,0.023250,46.921 
0.047000,111.000,0.023500,46.921 
0.047500,121.000,0.023750,47.898 
0.048000,113.000,0.024000,47.898 
0.048500,109.000,0.024250,48.876 
0.049000,102.000,0.024500,48.876 
0.049500,101.000,0.024750,50.831 
0.050000,106.000,0.025000,46.921 
0.050500,110.000,0.025250,46.921 
0.051000,108.000,0.025500,47.898 
0.051500,109.000,0.025750,48.876 
0.052000,119.000,0.026000,50.831 
0.052500,102.000,0.026250,47.898 
0.053000,101.000,0.026500,47.898 
0.053500,101.000,0.026750,47.898 
0.054000,112.000,0.027000,48.876 
0.054500,90.000,0.027250,50.831 
0.055000,88.000,0.027500,50.831 
0.055500,101.000,0.027750,46.921 
0.056000,116.000,0.028000,46.921 
0.056500,124.000,0.028250,46.921 
0.057000,105.000,0.028500,47.898 
0.057500,126.000,0.028750,50.831 
0.058000,117.000,0.029000,50.831 
0.058500,100.000,0.029250,45.943 
0.059000,93.000,0.029500,47.898 
0.059500,88.000,0.029750,46.921 
0.060000,92.000,0.030000,47.898 
0.060500,87.000,0.030250,47.898 
0.061000,93.000,0.030500,50.831 
0.061500,98.000,0.030750,49.853 
0.062000,104.000,0.031000,46.921 
0.062500,94.000,0.031250,47.898 
0.063000,90.000,0.031500,47.898 
0.063500,80.000,0.031750,47.898 
0.064000,98.000,0.032000,50.831 
0.064500,104.000,0.032250,50.831 
0.065000,97.000,0.032500,46.921 
0.065500,75.000,0.032750,46.921 
0.066000,105.000,0.033000,46.921 
0.066500,79.000,0.033250,47.898 
0.067000,113.000,0.033500,47.898 
0.067500,86.000,0.033750,50.831 
0.068000,104.000,0.034000,50.831 
0.068500,101.000,0.034250,46.921 
0.069000,83.000,0.034500,46.921 
0.069500,105.000,0.034750,46.921 
0.070000,90.000,0.035000,47.898 
0.070500,103.000,0.035250,47.898 
0.071000,87.000,0.035500,50.831 
0.071500,104.000,0.035750,46.921 
0.072000,106.000,0.036000,46.921 
0.072500,105.000,0.036250,46.921 
0.073000,116.000,0.036500,48.876 
0.073500,111.000,0.036750,50.831 
0.074000,101.000,0.037000,47.898 
0.074500,101.000,0.037250,46.921 
0.075000,113.000,0.037500,47.898 
