Time [s],Acceleration [mg],Time [s],Force [N]  
0.000000,0.000,0.000000,73.314 
0.000500,44.000,0.000250,71.359 
0.001000,3.000,0.000500,71.359 
0.001500,96.000,0.000750,71.359 
0.002000,13.000,0.001000,71.359 
0.002500,17.000,0.001250,71.359 
0.003000,17.000,0.001500,72.336 
0.003500,19.000,0.001750,71.359 
0.004000,6.000,0.002000,71.359 
0.004500,13.000,0.002250,71.359 
0.005000,15.000,0.002500,71.359 
0.005500,23.000,0.002750,71.359 
0.006000,14.000,0.003000,72.336 
0.006500,4.000,0.003250,75.269 
0.007000,14.000,0.003500,75.269 
0.007500,11.000,0.003750,75.269 
0.008000,21.000,0.004000,70.381 
0.008500,21.000,0.004250,71.359 
0.009000,7.000,0.004500,70.381 
0.009500,45.000,0.004750,71.359 
0.010000,28.000,0.005000,71.359 
0.010500,78.000,0.005250,71.359 
0.011000,96.000,0.005500,71.359 
0.011500,11.000,0.005750,72.336 
0.012000,21.000,0.006000,71.359 
0.012500,40.000,0.006250,71.359 
0.013000,19.000,0.006500,71.359 
0.013500,48.000,0.006750,72.336 
0.014000,39.000,0.007000,71.359 
0.014500,2.000,0.007250,71.359 
0.015000,22.000,0.007500,75.269 
0.015500,42.000,0.007750,75.269 
0.016000,34.000,0.008000,74.291 
0.016500,42.000,0.008250,74.291 
0.017000,28.000,0.008500,74.291 
0.017500,16.000,0.008750,71.359 
0.018000,26.000,0.009000,71.359 
0.018500,15.000,0.009250,71.359 
0.019000,19.000,0.009500,72.336 
0.019500,6.000,0.009750,71.359 
0.020000,19.000,0.010000,71.359 
0.020500,22.000,0.010250,71.359 
0.021000,19.000,0.010500,71.359 
0.021500,11.000,0.010750,71.359 
0.022000,35.000,0.011000,71.359 
0.022500,26.000,0.011250,71.359 
0.023000,14.000,0.011500,73.314 
0.023500,20.000,0.011750,75.269 
0.024000,22.000,0.012000,75.269 
0.024500,27.000,0.012250,74.291 
0.025000,20.000,0.012500,70.381 
0.025500,22.000,0.012750,71.359 
0.026000,12.000,0.013000,71.359 
0.026500,10.000,0.013250,71.359 
0.027000,17.000,0.013500,71.359 
0.027500,13.000,0.013750,71.359 
0.028000,17.000,0.014000,71.359 
0.028500,17.000,0.014250,71.359 
0.029000,1.000,0.014500,71.359 
0.029500,17.000,0.014750,71.359 
0.030000,10.000,0.015000,71.359 
0.030500,11.000,0.015250,72.336 
0.031000,18.000,0.015500,72.336 
0.031500,16.000,0.015750,75.269 
0.032000,12.000,0.016000,75.269 
0.032500,15.000,0.016250,75.269 
0.033000,3.000,0.016500,74.291 
0.033500,14.000,0.016750,74.291 
0.034000,6.000,0.017000,71.359 
0.034500,8.000,0.017250,70.381 
0.035000,26.000,0.017500,70.381 
0.035500,23.000,0.017750,71.359 
0.036000,38.000,0.018000,71.359 
0.036500,22.000,0.018250,71.359 
0.037000,19.000,0.018500,75.269 
0.037500,39.000,0.018750,74.291 
0.038000,25.000,0.019000,71.359 
0.038500,27.000,0.019250,71.359 
0.039000,25.000,0.019500,71.359 
0.039500,8.000,0.019750,72.336 
0.040000,37.000,0.020000,72.336 
0.040500,25.000,0.020250,73.314 
0.041000,20.000,0.020500,75.269 
0.041500,22.000,0.020750,75.269 
0.042000,23.000,0.021000,75.269 
0.042500,34.000,0.021250,74.291 
0.043000,47.000,0.021500,71.359 
0.043500,33.000,0.021750,71.359 
0.044000,39.000,0.022000,71.359 
0.044500,58.000,0.022250,71.359 
0.045000,46.000,0.022500,72.336 
0.045500,49.000,0.022750,71.359 
0.046000,39.000,0.023000,72.336 
0.046500,33.000,0.023250,75.269 
0.047000,44.000,0.023500,74.291 
0.047500,49.000,0.023750,70.381 
0.048000,42.000,0.024000,71.359 
0.048500,45.000,0.024250,71.359 
0.049000,43.000,0.024500,71.359 
0.049500,37.000,0.024750,71.359 
0.050000,42.000,0.025000,72.336 
0.050500,38.000,0.025250,72.336 
0.051000,33.000,0.025500,75.269 
0.051500,35.000,0.025750,74.291 
0.052000,37.000,0.026000,71.359 
0.052500,44.000,0.026250,71.359 
0.053000,39.000,0.026500,72.336 
0.053500,38.000,0.026750,72.336 
0.054000,11.000,0.027000,73.314 
0.054500,20.000,0.027250,75.269 
0.055000,34.000,0.027500,74.291 
0.055500,45.000,0.027750,71.359 
0.056000,36.000,0.028000,71.359 
0.056500,29.000,0.028250,71.359 
0.057000,91.000,0.028500,71.359 
0.057500,20.000,0.028750,72.336 
0.058000,16.000,0.029000,72.336 
0.058500,7.000,0.029250,75.269 
0.059000,22.000,0.029500,74.291 
0.059500,20.000,0.029750,70.381 
0.060000,34.000,0.030000,70.381 
0.060500,20.000,0.030250,71.359 
0.061000,11.000,0.030500,71.359 
0.061500,2.000,0.030750,71.359 
0.062000,12.000,0.031000,72.336 
0.062500,1.000,0.031250,75.269 
0.063000,16.000,0.031500,74.291 
0.063500,8.000,0.031750,74.291 
0.064000,31.000,0.032000,71.359 
0.064500,15.000,0.032250,71.359 
0.065000,20.000,0.032500,71.359 
0.065500,21.000,0.032750,71.359 
0.066000,22.000,0.033000,71.359 
0.066500,3.000,0.033250,72.336 
0.067000,87.000,0.033500,71.359 
0.067500,4.000,0.033750,71.359 
